affixe,chiens,presentations,resultats,points,chiens_resultats,haut_niveau,CACIT,RCACIT,CACT,RCACT,EXC,TB,CQN,taux_resultat,score_moyen_presentation,points_moyens_par_chien,pct_chiens_resultats,fiabilite,chiens_leaders,disciplines_fortes,indice_affixe
D'ARGEVILLE EN PROVENCE,2,32,5,200,2,0,0,0,0,0,2,3,0,0.15625,6.25,100.0,1.0,échantillon faible,"EROS D'ARGEVILLE EN PROVENCE, E-T D'ARGEVILLE EN PROVENCE",printemps,31.024053703689074
DE LA VALLEE DE CHAMPLEBOUT,1,22,2,135,1,1,0,0,1,0,1,0,0,0.09090909090909091,6.136363636363637,135.0,1.0,échantillon faible,OP DE LA VALLEE DE CHAMPLEBOUT,becasse,31.003040266356336
DE LA BOUCLE DU MES,1,19,4,177,1,0,0,0,0,0,3,0,1,0.21052631578947367,9.31578947368421,177.0,1.0,échantillon faible,SNOOPIE DE LA BOUCLE DU MES,becasse,30.866435948727066
DE SANT GWENOU,1,29,2,140,1,1,0,0,1,0,1,0,0,0.06896551724137931,4.827586206896552,140.0,1.0,échantillon faible,ODE DE SANT GWENOU,becasse,30.776557902318086
DE LA SOURCE DE SALBART,1,12,4,146,1,0,0,0,0,0,1,3,0,0.3333333333333333,12.166666666666666,146.0,1.0,échantillon faible,UXI DITE URIELLE DE LA SOURCE DE SALBART,"printemps, becasse",30.653342593242154
DU CLOS DES BEAUX JOURS,1,14,3,154,1,0,0,0,0,0,3,0,0,0.21428571428571427,11.0,154.0,1.0,échantillon faible,ENZA DU CLOS DES BEAUX JOURS,"printemps, becassine",30.61643137177355
DES COTEAUX DE LA LOUE,2,131,13,549,1,2,0,0,2,0,3,6,2,0.09923664122137404,4.190839694656488,274.5,0.5,échantillon faible,"LORCKA DES COTEAUX DE LA LOUE, LUCKY DES COTEAUX DE LA LOUE","becasse, montagne, becassine",30.57377643780686
DE MELIADOR,2,39,4,177,2,0,0,0,0,0,3,0,1,0.10256410256410256,4.538461538461538,88.5,1.0,échantillon faible,"IVORY DE MELIADOR, JONAH DE MELIADOR",becasse,30.555375673763308
DES LANDES DE VERZU,1,35,2,132,1,1,0,0,1,0,1,0,0,0.05714285714285714,3.7714285714285714,132.0,1.0,échantillon faible,GOLD DES LANDES DE VERZU,"becasse, becassine",30.458389314630267
DU MASSIF DE L'ETOILE,2,17,3,157,2,0,0,0,0,0,3,0,0,0.17647058823529413,9.235294117647058,78.5,1.0,échantillon faible,"GAYA DU MASSIF DE L'ETOILE, INDIE DU MASSIF DE L'ETOILE","printemps, becasse",30.367349769205433
DES BERGES DU TAVIGNANO,1,26,2,120,1,1,0,0,0,1,1,0,0,0.07692307692307693,4.615384615384615,120.0,1.0,échantillon faible,DICK DES BERGES DU TAVIGNANO,"becasse, discipline_non_identifiee",30.300643916143677
DU BOIS DES DIAN,1,15,4,149,1,0,0,0,0,0,1,3,0,0.26666666666666666,9.933333333333334,149.0,1.0,échantillon faible,A'SOLENE DU BOIS DES DIAN,"discipline_non_identifiee, becasse, printemps",30.277185123012824
"DEL FAENOR ""NI&Q",1,7,2,132,1,1,0,0,1,0,1,0,0,0.2857142857142857,18.857142857142858,132.0,1.0,échantillon faible,"REX DEL FAENOR ""NI&Q",printemps,30.19291389095038
DU BOIS DE BUISSERE,1,90,2,107,1,0,0,0,0,0,2,0,0,0.022222222222222223,1.1888888888888889,107.0,1.0,échantillon faible,OCEAN DU BOIS DE BUISSERE,"grande_quete, printemps",30.174991837455135
DE LAS TRIEMES,2,25,3,162,2,0,0,0,0,0,3,0,0,0.12,6.48,81.0,1.0,échantillon faible,"SHADOW DE LAS TRIEMES, SIRIO DE LAS TRIEMES","printemps, grande_quete, becasse",30.17246173391714
DE LA VALLEE DE L'IGNERAIE,4,36,1,80,1,1,0,0,1,0,0,0,0,0.027777777777777776,2.2222222222222223,20.0,0.25,exploitable,"LOU DE LA VALLEE DE L'IGNERAIE, GALILEE DE LA VALLEE DE L'IGNERAIE, JULIETTE DE LA VALLEE DE L'IGNERAIE","becasse, discipline_non_identifiee",30.09774834194881
DES PLAINES ENDIABLEES,2,66,8,482,1,1,1,0,0,0,7,0,0,0.12121212121212122,7.303030303030303,241.0,0.5,échantillon faible,"HOLD UP DES PLAINES ENDIABLEES, HELIUM DES PLAINES ENDIABLEES","grande_quete, discipline_non_identifiee",30.005633037014988
DES BORDS DE CERE,4,32,2,107,1,0,0,0,0,0,2,0,0,0.0625,3.34375,26.75,0.25,exploitable,"JEF DES BORDS DE CERE, ECHO DES BORDS DE CERE, GALICE DES BORDS DE CERE","printemps, becassine",29.743834821203503
DU VAL DE PAS,1,27,4,146,1,0,0,0,0,0,1,3,0,0.14814814814814814,5.407407407407407,146.0,1.0,échantillon faible,GIROLLE DU VAL DE PAS,printemps,29.720560312083844
DE LA FORET DU MELU,1,21,3,143,1,0,0,0,0,0,2,1,0,0.14285714285714285,6.809523809523809,143.0,1.0,échantillon faible,MELI DE LA FORET DU MELU,becasse,29.686074547997748
DU FIEF DU VENT,2,47,6,349,1,2,0,0,2,0,3,1,0,0.1276595744680851,7.425531914893617,174.5,0.5,échantillon faible,"UMELLE DU FIEF DU VENT, RAFALE DU FIEF DU VENT","becasse, discipline_non_identifiee",29.639439234562964
DEL POGGIO MARINO,1,27,1,100,1,1,1,0,0,0,0,0,0,0.037037037037037035,3.7037037037037037,100.0,1.0,échantillon faible,RIHANNA DEL POGGIO MARINO,grande_quete,29.63095888307532
DU BOIS DE BEL AIR,1,28,3,142,1,0,0,0,0,0,2,1,0,0.10714285714285714,5.071428571428571,142.0,1.0,échantillon faible,IGLOO DU BOIS DE BEL AIR,"printemps, discipline_non_identifiee",29.615384636238417
DU CLOS DE RICOU,1,35,5,138,1,0,0,0,0,0,0,3,2,0.14285714285714285,3.942857142857143,138.0,1.0,échantillon faible,PRISCA DU CLOS DE RICOU,"becasse, printemps",29.60977776888
DU MOULIN DE MILLE ECUS,2,25,3,142,2,0,0,0,0,0,2,1,0,0.12,5.68,71.0,1.0,échantillon faible,"ITALO DU MOULIN DE MILLE ECUS, ROCCO DU MOULIN DE MILLE ECUS","printemps, discipline_non_identifiee",29.606767503205276
DES BELLES MERIDIONALES,2,32,7,338,1,1,0,0,1,0,3,3,0,0.21875,10.5625,169.0,0.5,échantillon faible,"SUMMER DES BELLES MERIDIONALES, SUNDAY DES BELLES MERIDIONALES","discipline_non_identifiee, printemps, becasse",29.573840601947605
DU BOIS DE CALICE,2,23,3,138,2,0,0,0,0,0,2,1,0,0.13043478260869565,6.0,69.0,1.0,échantillon faible,"HYQUEM DU BOIS DE CALICE, FARTHEN'DUR DU BOIS DE CALICE","printemps, becasse, discipline_non_identifiee",29.496770429753806
DE LA COUM AUX BELLES,2,74,11,437,1,1,0,0,1,0,2,7,1,0.14864864864864866,5.905405405405405,218.5,0.5,échantillon faible,"PURPLE DREAM DE LA COUM AUX BELLES, VAIMITI DE LA COUM AUX BELLES","becasse, becassine, discipline_non_identifiee",29.46604444671172
DES SOUS BOIS DE CAMPAS,1,8,1,100,1,1,1,0,0,0,0,0,0,0.125,12.5,100.0,1.0,échantillon faible,LARGO DES SOUS BOIS DE CAMPAS,montagne,29.460154163353263
DES BERGES DE LA LOIRE,2,34,7,341,1,1,0,0,1,0,3,3,0,0.20588235294117646,10.029411764705882,170.5,0.5,échantillon faible,"HAVANE DES BERGES DE LA LOIRE, HELISS DES BERGES DE LA LOIRE","becasse, becassine, printemps",29.448614856429252
DES BORDS DU BAHUS,2,23,3,135,2,0,0,0,0,0,2,0,1,0.13043478260869565,5.869565217391305,67.5,1.0,échantillon faible,"HORUS DES BORDS DU BAHUS, JYLIA DES BORDS DU BAHUS","printemps, discipline_non_identifiee, montagne",29.403644752456927
DE LA CREANCEE,1,17,1,80,1,1,0,0,1,0,0,0,0,0.058823529411764705,4.705882352941177,80.0,1.0,échantillon faible,ROMY DE LA CREANCEE,"becasse, becassine",29.360378020163747
DES AJONCS DU VAL,2,77,8,421,1,1,0,0,0,1,6,1,0,0.1038961038961039,5.467532467532467,210.5,0.5,échantillon faible,"OSLO DES AJONCS DU VAL, ETOILE DES AJONCS DU VAL","discipline_non_identifiee, printemps, becasse",29.293148586684005
DES BOIS DE L'ALZOU,1,45,3,114,1,0,0,0,0,0,1,2,0,0.06666666666666667,2.533333333333333,114.0,1.0,échantillon faible,IPSO DES BOIS DE L'ALZOU,"becasse, becassine, discipline_non_identifiee",29.255994229439473
DI DU POULIT SAN DA,1,38,3,115,1,0,0,0,0,0,1,2,0,0.07894736842105263,3.026315789473684,115.0,1.0,échantillon faible,LADY DI DU POULIT SAN DA,printemps,29.088412535949935
DU CLOS SAINT MAURICE,2,41,7,346,1,1,0,0,1,0,3,3,0,0.17073170731707318,8.439024390243903,173.0,0.5,échantillon faible,"SHABAL DU CLOS SAINT MAURICE, UVE DU CLOS SAINT MAURICE","printemps, becasse",29.084768907036146
DU POULIT SAN DA,1,23,1,80,1,1,0,0,1,0,0,0,0,0.043478260869565216,3.4782608695652173,80.0,1.0,échantillon faible,SPARTACO DU POULIT SAN DA,"printemps, becasse",28.99625144497835
DU CLOS PASTEL,1,26,1,80,1,1,0,0,1,0,0,0,0,0.038461538461538464,3.076923076923077,80.0,1.0,échantillon faible,MISTRAL DU CLOS PASTEL,"printemps, discipline_non_identifiee, montagne",28.931989108481936
DU TOURBILLON BLA,1,4,3,150,1,1,0,0,0,1,1,1,0,0.75,37.5,150.0,1.0,échantillon faible,ALTESSE DU TOURBILLON BLA,printemps,28.7921370804901
DE VILLACARMAGO,1,22,2,112,1,0,0,0,0,0,2,0,0,0.09090909090909091,5.090909090909091,112.0,1.0,échantillon faible,GOLD DE VILLACARMAGO,becasse,28.646225044858564
DI VILLA MOMPIANI,1,17,2,110,1,0,0,0,0,0,2,0,0,0.11764705882352941,6.470588235294118,110.0,1.0,échantillon faible,FIGHT DI VILLA MOMPIANI,grande_quete,28.598806600096076
DE LA VALLEE DE LA CLARENCE,1,14,2,107,1,0,0,0,0,0,2,0,0,0.14285714285714285,7.642857142857143,107.0,1.0,échantillon faible,GHOST DE LA VALLEE DE LA CLARENCE,"printemps, discipline_non_identifiee",28.59546844668529
DU CLOS SAINTE CATHERINE,1,27,2,107,1,0,0,0,0,0,2,0,0,0.07407407407407407,3.962962962962963,107.0,1.0,échantillon faible,FAMOSO DU CLOS SAINTE CATHERINE,"printemps, discipline_non_identifiee",28.564137446313982
DE ARMANON,3,31,1,60,1,0,0,0,0,0,1,0,0,0.03225806451612903,1.935483870967742,20.0,0.3333333333333333,exploitable,"FIGARO DE ARMANON, DEMA DE ARMANON, SIBO DE ARMANON",becasse,28.555958205120525
DES SAGNES DE LA CROIX MORAN,1,26,2,107,1,0,0,0,0,0,2,0,0,0.07692307692307693,4.115384615384615,107.0,1.0,échantillon faible,THOR DES SAGNES DE LA CROIX MORAN,"becasse, printemps",28.54116500904183
DES BERGES DE LA GELINE,2,21,3,103,2,0,0,0,0,0,1,1,1,0.14285714285714285,4.904761904761905,51.5,1.0,échantillon faible,"HARKO DES BERGES DE LA GELINE, HAVANE DES BERGES DE LA GELINE","printemps, becasse, discipline_non_identifiee",28.31339053508643
DES TERRES ANGLAISES,1,25,3,96,1,0,0,0,0,0,0,3,0,0.12,3.84,96.0,1.0,échantillon faible,HIAGO DES TERRES ANGLAISES,"discipline_non_identifiee, printemps, becasse",28.14228667092799
DE LA SOURCE SAINT QUENTIN,2,29,4,250,1,1,0,0,1,0,3,0,0,0.13793103448275862,8.620689655172415,125.0,0.5,échantillon faible,"SAMBA DE LA SOURCE SAINT QUENTIN, TIGWAN DE LA SOURCE SAINT QUENTIN","becassine, becasse, printemps",28.12618373920721
DE LA PETITE VAREIZE,3,32,1,52,1,0,0,0,0,0,1,0,0,0.03125,1.625,17.333333333333332,0.3333333333333333,exploitable,"ISERE DE LA PETITE VAREIZE, FLAMME DE LA PETITE VAREIZE, FLASH DE LA PETITE VAREIZE","printemps, becasse",28.10306629477707
DE L'ENVOLEE DE PRA PELLET,1,10,2,88,1,0,0,0,0,0,1,1,0,0.2,8.8,88.0,1.0,échantillon faible,LASIO DE L'ENVOLEE DE PRA PELLET,becasse,27.979282094609104
DU CLOS DE LA PASSION,1,21,2,93,1,0,0,0,0,0,1,1,0,0.09523809523809523,4.428571428571429,93.0,1.0,échantillon faible,LEMON DU CLOS DE LA PASSION,"printemps, becasse",27.933168923090708
DE LA VALLEE DE GICORNE,2,18,3,185,1,1,0,0,1,0,2,0,0,0.16666666666666666,10.277777777777779,92.5,0.5,échantillon faible,"RUSTY DE LA VALLEE DE GICORNE, SOOKY DE LA VALLEE DE GICORNE",becasse,27.909797906739538
DU JAS DES MARQUANDS,1,22,2,85,1,0,0,0,0,0,1,1,0,0.09090909090909091,3.8636363636363638,85.0,1.0,échantillon faible,SADE DU JAS DES MARQUANDS,"printemps, becasse",27.642851275491214
DU CHATEAU DES MONEDIERES,2,25,6,267,1,0,0,0,0,0,3,3,0,0.24,10.68,133.5,0.5,échantillon faible,"PARVATI DU CHATEAU DES MONEDIERES, MEDUSA DU CHATEAU DES MONEDIERES","becassine, becasse",27.53571619788446
DE L'EL BAD,1,10,2,80,1,0,0,0,0,0,1,1,0,0.2,8.0,80.0,1.0,échantillon faible,DIAMANTE DE L'EL BAD,grande_quete,27.482503862404673
DES PETITES LANDES DU PIN,1,12,2,80,1,0,0,0,0,0,1,0,1,0.16666666666666666,6.666666666666667,80.0,1.0,échantillon faible,GEX DES PETITES LANDES DU PIN,"becasse, discipline_non_identifiee",27.334752373920956
DU PONT DE LA TERRE NOIRE,2,9,2,93,2,0,0,0,0,0,1,1,0,0.2222222222222222,10.333333333333334,46.5,1.0,échantillon faible,"STELLA-MARIS DU PONT DE LA TERRE NOIRE, LALOU DU PONT DE LA TERRE NOIRE","becasse, printemps",27.051454154710687
DES RIOS DU TREIPAIS,1,10,2,72,1,0,0,0,0,0,1,0,1,0.2,7.2,72.0,1.0,échantillon faible,MIAGE DES RIOS DU TREIPAIS,becasse,26.96732750314429
DES HAUTS DE BURDAN,2,26,5,244,1,0,0,0,0,0,3,2,0,0.19230769230769232,9.384615384615385,122.0,0.5,échantillon faible,"ROXANE DES HAUTS DE BURDAN, VADIM DES HAUTS DE BURDAN",becasse,26.936261517381173
DES PLAINES DE L'ESQIOU,2,16,4,197,1,0,0,0,0,0,3,1,0,0.25,12.3125,98.5,0.5,échantillon faible,"ISA DES PLAINES DE L'ESQIOU, MOZART DES PLAINES DE L'ESQIOU",becasse,26.6398628870376
DE LA TOUR DES BAYSSES,2,56,5,243,1,0,0,0,0,0,4,1,0,0.08928571428571429,4.339285714285714,121.5,0.5,échantillon faible,"GEKO DE LA TOUR DES BAYSSES, TAO DE LA TOUR DES BAYSSES","becassine, becasse, printemps",26.635118080133136
DE MONTE MAYOR,2,15,2,130,1,1,0,0,1,0,1,0,0,0.13333333333333333,8.666666666666666,65.0,0.5,échantillon faible,"SAGOMA DE MONTE MAYOR, PAN DE MONTE MAYOR","printemps, becasse, discipline_non_identifiee",26.59965078104985
DES MONTS DE GUYENNE,3,32,1,31,1,0,0,0,0,0,0,1,0,0.03125,0.96875,10.333333333333334,0.3333333333333333,exploitable,"RAMSES DES MONTS DE GUYENNE, INOA DES MONTS DE GUYENNE, ROXANE DES MONTS DE GUYENNE","discipline_non_identifiee, becasse, becassine",26.375220876784
DE KERISIS,1,13,1,55,1,0,0,0,0,0,1,0,0,0.07692307692307693,4.230769230769231,55.0,1.0,échantillon faible,JONAH DE KERISIS,becasse,25.83869175757812
DES FORETS LACAUNAISES,1,12,1,55,1,0,0,0,0,0,1,0,0,0.08333333333333333,4.583333333333333,55.0,1.0,échantillon faible,GIBS DES FORETS LACAUNAISES,"printemps, becasse, discipline_non_identifiee",25.808666875183683
D'APPLE DU DOMAINE DE APPLE,1,11,1,55,1,0,0,0,0,0,1,0,0,0.09090909090909091,5.0,55.0,1.0,échantillon faible,D'APPLE DU DOMAINE DE APPLE,grande_quete,25.79058490218823
DE LA DEMOISELLE DOREE,1,10,1,55,1,0,0,0,0,0,1,0,0,0.1,5.5,55.0,1.0,échantillon faible,UNO DE LA DEMOISELLE DOREE,printemps,25.789751697000728
DU GRAND THUYA,2,35,4,200,1,0,0,0,0,0,3,0,1,0.11428571428571428,5.714285714285714,100.0,0.5,échantillon faible,"LIGHTY DU GRAND THUYA, LIZZEN DU GRAND THUYA","becasse, printemps, discipline_non_identifiee",25.76060119459086
DEL SELMIK,2,24,2,140,1,1,0,0,1,0,1,0,0,0.08333333333333333,5.833333333333333,70.0,0.5,échantillon faible,"BOSTON DEL SELMIK, EIBAR DEL SELMIK",grande_quete,25.759472443139785
DE LA GARRIGUE DES PRINCES,1,15,1,52,1,0,0,0,0,0,1,0,0,0.06666666666666667,3.466666666666667,52.0,1.0,échantillon faible,TENZO DE LA GARRIGUE DES PRINCES,"printemps, becasse, discipline_non_identifiee",25.737917314231414
DE BREKILIEN,1,7,2,107,1,0,0,0,0,0,2,0,0,0.2857142857142857,15.285714285714286,107.0,1.0,échantillon faible,LITCHI DE BREKILIEN,becasse,25.671447916540107
DU DOMAINE DE APPLE,2,23,2,132,1,1,0,0,1,0,1,0,0,0.08695652173913043,5.739130434782608,66.0,0.5,échantillon faible,"NOTALA DU DOMAINE DE APPLE, NALA II DU DOMAINE DE APPLE","grande_quete, becasse",25.58134470842332
DU FIEF GASCON,1,27,1,33,1,0,0,0,0,0,0,1,0,0.037037037037037035,1.2222222222222223,33.0,1.0,échantillon faible,LEO DU FIEF GASCON,"printemps, becasse",25.298596614084147
DES JASSERIES DES GRANGES,2,6,3,115,2,0,0,0,0,0,1,2,0,0.5,19.166666666666668,57.5,1.0,échantillon faible,"LAOUEN DES JASSERIES DES GRANGES, LADY DES JASSERIES DES GRANGES",discipline_non_identifiee,25.26399770401059
DE LA BAIE DE SLACK,2,43,3,170,1,0,0,0,0,0,3,0,0,0.06976744186046512,3.953488372093023,85.0,0.5,échantillon faible,"IP'HOP DE LA BAIE DE SLACK, IKONE DE LA BAIE DE SLACK","becasse, printemps, discipline_non_identifiee",25.21607382321903
DU VAL D'ESE,2,8,3,159,1,0,0,0,0,0,3,0,0,0.375,19.875,79.5,0.5,échantillon faible,"MAYA DU VAL D'ESE, MARVIN DU VAL D'ESE",printemps,25.01727309485896
DES BORDS DU RIEUVERT,2,50,4,141,1,0,0,0,0,0,1,3,0,0.08,2.82,70.5,0.5,échantillon faible,"HARLEY DES BORDS DU RIEUVERT, LINUX DES BORDS DU RIEUVERT","grande_quete, printemps, becasse",24.754647865533027
DE MA MAZORRA,1,20,1,30,1,0,0,0,0,0,0,1,0,0.05,1.5,30.0,1.0,échantillon faible,IKER DE MA MAZORRA,grande_quete,24.57232754150478
DE CHAMPARGOGNE,1,9,1,55,1,0,0,0,0,0,1,0,0,0.1111111111111111,6.111111111111111,55.0,1.0,échantillon faible,HAMY DE CHAMPARGOGNE,printemps,24.52349784250695
DES BOIS DES SETTONS,2,15,3,135,1,0,0,0,0,0,2,0,1,0.2,9.0,67.5,0.5,échantillon faible,"NELL DES BOIS DES SETTONS, NEIGE DES BOIS DES SETTONS","montagne, becasse",24.469954183517057
DU BOUT DE LA VILLE,2,25,3,138,1,0,0,0,0,0,2,1,0,0.12,5.52,69.0,0.5,échantillon faible,"NASH DU BOUT DE LA VILLE, LASKO DU BOUT DE LA VILLE","printemps, becassine",24.239519069415923
DES FORETS BRETONNES,1,15,1,31,1,0,0,0,0,0,0,1,0,0.06666666666666667,2.066666666666667,31.0,1.0,échantillon faible,USAIN BOLT DES FORETS BRETONNES,becasse,24.23092552163627
DES BOIS DE L'ADOUR,2,19,1,80,1,1,0,0,1,0,0,0,0,0.05263157894736842,4.2105263157894735,40.0,0.5,échantillon faible,"SHARK DES BOIS DE L'ADOUR, MEVANE DES BOIS DE L'ADOUR",becasse,23.93870266482896
DES BLUES BROTHERS,1,11,1,31,1,0,0,0,0,0,0,1,0,0.09090909090909091,2.8181818181818183,31.0,1.0,échantillon faible,SOIZIC DES BLUES BROTHERS,becasse,23.86752516510036
D'ISARUDY,2,27,4,124,1,0,0,0,0,0,0,4,0,0.14814814814814814,4.592592592592593,62.0,0.5,échantillon faible,"SUNDAY D'ISARUDY, PANDA D'ISARUDY","becassine, becasse",23.840356532743353
DE LA PLUME DOREE,2,24,1,80,1,1,0,0,1,0,0,0,0,0.041666666666666664,3.3333333333333335,40.0,0.5,échantillon faible,"GRINGO DE LA PLUME DOREE, FERIA DE LA PLUME DOREE","becasse, discipline_non_identifiee, printemps",23.719096932643087
DE KERDERO,3,19,1,20,1,0,0,0,0,0,0,0,1,0.05263157894736842,1.0526315789473684,6.666666666666667,0.3333333333333333,exploitable,"SI-BELLE BLUE DE KERDERO, IAGO DE KERDERO, ELIOTH DE KERDERO",becasse,23.642553083582133
DE L'EL BADIO,1,5,2,100,1,0,0,0,0,0,2,0,0,0.4,20.0,100.0,1.0,échantillon faible,DIAMANTE DE L'EL BADIO,grande_quete,23.473230107973535
DU MONT LELOO,1,4,2,104,1,0,0,0,0,0,2,0,0,0.5,26.0,104.0,1.0,échantillon faible,SAXO DU MONT LELOO,becasse,23.344801769373763
DE L'ECHO DE LA VALLEE,1,8,1,55,1,0,0,0,0,0,1,0,0,0.125,6.875,55.0,1.0,échantillon faible,LAYA DE L'ECHO DE LA VALLEE,"printemps, becasse",23.288920636541633
DE L'EL BALD,1,8,1,55,1,0,0,0,0,0,1,0,0,0.125,6.875,55.0,1.0,échantillon faible,CHICAGO DE L'EL BALD,grande_quete,23.288920636541633
DELLA PU,1,15,1,20,1,0,0,0,0,0,0,0,1,0.06666666666666667,1.3333333333333333,20.0,1.0,échantillon faible,ERA TRINCHERALDO DELLA PU,"becassine, becasse",23.14702446964073
DE LA VALLEE DE L'ARON,1,13,1,20,1,0,0,0,0,0,0,0,1,0.07692307692307693,1.5384615384615385,20.0,1.0,échantillon faible,SHIVA DE LA VALLEE DE L'ARON,becasse,22.92086849763225
DE CHIRICO DELL'AD M,1,9,1,30,1,0,0,0,0,0,0,1,0,0.1111111111111111,3.3333333333333335,30.0,1.0,échantillon faible,DE CHIRICO DELL'AD M,grande_quete,22.41351733148985
DE L'ANSE DE PENFOULIC,1,6,2,70,1,0,0,0,0,0,1,0,1,0.3333333333333333,11.666666666666666,70.0,1.0,échantillon faible,MOORKI DE L'ANSE DE PENFOULIC,becasse,22.12689335339284
DES COLLINES DE L'HOPITAL,1,4,2,87,1,0,0,0,0,0,1,1,0,0.5,21.75,87.0,1.0,échantillon faible,NOLLY DES COLLINES DE L'HOPITAL,printemps,21.922750768945452
DES CHAOS DE HUELGOAT,2,6,1,80,1,1,0,0,1,0,0,0,0,0.16666666666666666,13.333333333333334,40.0,0.5,échantillon faible,"UBY DES CHAOS DE HUELGOAT, ULK DES CHAOS DE HUELGOAT",becasse,21.45807893190591
DES COTEAUX DE L'ETAMOIR,2,19,2,66,1,0,0,0,0,0,0,2,0,0.10526315789473684,3.473684210526316,33.0,0.5,échantillon faible,"GALA DES COTEAUX DE L'ETAMOIR, GALLIA DES COTEAUX DE L'ETAMOIR","becasse, becassine, discipline_non_identifiee",21.445710047683324
DE TOURBILLON BL,1,6,1,60,1,0,0,0,0,0,1,0,0,0.16666666666666666,10.0,60.0,1.0,échantillon faible,BELLAMIE DE TOURBILLON BL,"discipline_non_identifiee, printemps",21.3656225143095
DE LA BRUME AU MATIN,2,22,1,60,1,0,0,0,0,0,1,0,0,0.045454545454545456,2.727272727272727,30.0,0.5,échantillon faible,"SYA DE LA BRUME AU MATIN, SIBELLE DE LA BRUME AU MATIN","becasse, discipline_non_identifiee, printemps",21.293646924365785
DES VALLONS DE PYRENE,2,41,2,40,1,0,0,0,0,0,0,0,2,0.04878048780487805,0.975609756097561,20.0,0.5,échantillon faible,"TEMPO DES VALLONS DE PYRENE, ULTIME DES VALLONS DE PYRENE",becasse,21.237189971108613
DE CANTAOUZEL,2,18,1,60,1,0,0,0,0,0,1,0,0,0.05555555555555555,3.3333333333333335,30.0,0.5,échantillon faible,"INOA DE CANTAOUZEL, NAYA DE CANTAOUZEL","becasse, becassine",21.095091643256183
DA VINCI DU TOURBILLON BL,1,2,2,70,1,0,0,0,0,0,0,2,0,1.0,35.0,70.0,1.0,échantillon faible,DA VINCI DU TOURBILLON BL,printemps,21.021767977720128
DE LA VALLEE DU GLAND,1,6,1,55,1,0,0,0,0,0,1,0,0,0.16666666666666666,9.166666666666666,55.0,1.0,échantillon faible,TZIGANE DE LA VALLEE DU GLAND,"discipline_non_identifiee, printemps",20.970543866249418
DU KER DE L'ISLE,2,12,1,60,1,0,0,0,0,0,1,0,0,0.08333333333333333,5.0,30.0,0.5,échantillon faible,"FANTA DU KER DE L'ISLE, LACRIM DU KER DE L'ISLE",printemps,20.885848518592116
DE LA STEPHANOISE,2,38,1,35,1,0,0,0,0,0,0,1,0,0.02631578947368421,0.9210526315789473,17.5,0.5,échantillon faible,"URYS DE LA STEPHANOISE, LANKA DE LA STEPHANOISE","becasse, printemps, discipline_non_identifiee",20.800222300265425
DU CROHOT NOIR,1,6,1,52,1,0,0,0,0,0,1,0,0,0.16666666666666666,8.666666666666666,52.0,1.0,échantillon faible,OLIVER DU CROHOT NOIR,"printemps, discipline_non_identifiee",20.727871328837068
DE L'EL BALDIO,1,6,1,50,1,0,0,0,0,0,1,0,0,0.16666666666666666,8.333333333333334,50.0,1.0,échantillon faible,CHICAGO DE L'EL BALDIO,grande_quete,20.56344734451401
DU FOYER DES TRICOLORS,2,18,1,50,1,0,0,0,0,0,1,0,0,0.05555555555555555,2.7777777777777777,25.0,0.5,échantillon faible,"MYA DU FOYER DES TRICOLORS, INDRA DU FOYER DES TRICOLORS","discipline_non_identifiee, becasse, printemps",20.536817125456263
DE CASTROCAN,1,5,1,60,1,0,0,0,0,0,1,0,0,0.2,12.0,60.0,1.0,échantillon faible,IVAN DE CASTROCAN,printemps,20.36342173485351
DU BOIS DE HERREGATE,1,4,2,68,1,0,0,0,0,0,0,2,0,0.5,17.0,68.0,1.0,échantillon faible,SWANN DU BOIS DE HERREGATE,becasse,20.27319065751816
DE BARTHEBRUNE,1,7,1,33,1,0,0,0,0,0,0,1,0,0.14285714285714285,4.714285714285714,33.0,1.0,échantillon faible,HAVANE DE BARTHEBRUNE,discipline_non_identifiee,20.23330434671088
DU CLAIR DE LA PLUME,2,4,1,80,1,1,0,0,1,0,0,0,0,0.25,20.0,40.0,0.5,échantillon faible,"OPALE DU CLAIR DE LA PLUME, ORPHEE DU CLAIR DE LA PLUME",printemps,20.098851553973258
D'JAZZ DU ROCHER DU VENT,1,7,1,30,1,0,0,0,0,0,0,1,0,0.14285714285714285,4.285714285714286,30.0,1.0,échantillon faible,D'JAZZ DU ROCHER DU VENT,discipline_non_identifiee,19.94022235943036
DES EYMOUCHERES,1,6,2,40,1,0,0,0,0,0,0,0,2,0.3333333333333333,6.666666666666667,40.0,1.0,échantillon faible,FIFA DES EYMOUCHERES,becasse,19.702405164081828
DE LA BATTUE EN LANDES,2,17,1,31,1,0,0,0,0,0,0,1,0,0.058823529411764705,1.8235294117647058,15.5,0.5,échantillon faible,"IENE DE LA BATTUE EN LANDES, FUN DE LA BATTUE EN LANDES",discipline_non_identifiee,19.155528684516867
DE L'EPIPTERE,2,15,1,33,1,0,0,0,0,0,0,1,0,0.06666666666666667,2.2,16.5,0.5,échantillon faible,"GULLI DE L'EPIPTERE, GIGGS DE L'EPIPTERE","discipline_non_identifiee, montagne, printemps",19.14804408012971
DELLA BOSCAGLIA,1,3,1,60,1,0,0,0,0,0,1,0,0,0.3333333333333333,20.0,60.0,1.0,échantillon faible,ZICO DELLA BOSCAGLIA,grande_quete,19.119986923583863
