affixe,chiens,presentations,resultats,points,chiens_resultats,haut_niveau,CACIT,RCACIT,CACT,RCACT,EXC,TB,CQN,taux_resultat,score_moyen_presentation,points_moyens_par_chien,pct_chiens_resultats,fiabilite,chiens_leaders,disciplines_fortes,indice_affixe
DE LA TOUR SARRAZINE,1,7,4,221,1,2,0,0,0,2,1,1,0,0.5714285714285714,31.571428571428573,221.0,1.0,échantillon faible,MYA DE LA TOUR SARRAZINE,"printemps, becasse",35.33311349893531
DE MANAC'H COZ,2,37,11,625,1,3,0,0,2,1,6,2,0,0.2972972972972973,16.89189189189189,312.5,0.5,échantillon faible,"OGAST II DE MANAC'H COZ, ORPHEE DE MANAC'H COZ",becasse,35.326498053318446
DEL BINARIO,1,12,3,185,1,1,1,0,0,0,1,1,0,0.25,15.416666666666666,185.0,1.0,échantillon faible,COOPER DEL BINARIO,"printemps, discipline_non_identifiee",35.31166589318658
DU TRIDOUR,1,24,6,302,1,1,0,0,0,1,3,2,0,0.25,12.583333333333334,302.0,1.0,échantillon faible,DANAE DU TRIDOUR,"discipline_non_identifiee, printemps, becasse",35.14523588019918
DEL DUDA,3,10,1,90,1,1,0,1,0,0,0,0,0,0.1,9.0,30.0,0.3333333333333333,exploitable,"ASTRA DEL DUDA, ATOMIC DEL DUDA, BULOS ZAGNI DEL DUDA","printemps, grande_quete",35.14427469531896
DU FOND DE ROUVE,1,12,3,180,1,1,0,0,0,1,2,0,0,0.25,15.0,180.0,1.0,échantillon faible,HORKO DU FOND DE ROUVE,printemps,35.093854879412966
DU COL DE L'ARC,2,31,8,410,2,0,0,0,0,0,6,2,0,0.25806451612903225,13.225806451612904,205.0,1.0,échantillon faible,"SOLDEN DU COL DE L'ARC, SAMPA DU COL DE L'ARC","becasse, montagne",35.08586274374118
DU MILOBRE DE BOUISSE,4,28,4,148,2,0,0,0,0,0,1,3,0,0.14285714285714285,5.285714285714286,37.0,0.5,exploitable,"MISS'BLUE DU MILOBRE DE BOUISSE, J'ZULU DU MILOBRE DE BOUISSE, H'POCAHONTAS DU MILOBRE DE BOUISSE","becassine, printemps, discipline_non_identifiee",35.04034556088189
DES LANDES DU VAL DU LOIR,1,52,8,425,1,1,0,0,0,1,6,1,0,0.15384615384615385,8.173076923076923,425.0,1.0,échantillon faible,NARVAL DES LANDES DU VAL DU LOIR,"discipline_non_identifiee, printemps, becasse",34.969705545578094
DU CLOS DU TROINE,2,41,7,331,2,2,0,0,1,1,1,4,0,0.17073170731707318,8.073170731707316,165.5,1.0,échantillon faible,"JERKO DU CLOS DU TROINE, SPIROU DU CLOS DU TROINE","printemps, becasse",34.959146945748266
DES TORNADES DU VENTOUX,1,14,4,201,1,1,0,0,1,0,1,2,0,0.2857142857142857,14.357142857142858,201.0,1.0,échantillon faible,RAPIDE DES TORNADES DU VENTOUX,becasse,34.956366628261996
OF FAROLAVE,1,15,6,278,1,0,0,0,0,0,4,2,0,0.4,18.533333333333335,278.0,1.0,échantillon faible,HENDRIX BEST OF FAROLAVE,"discipline_non_identifiee, montagne, printemps",34.88193359103097
DE PIEDRALLADA,3,20,2,140,1,1,0,1,0,0,1,0,0,0.1,7.0,46.666666666666664,0.3333333333333333,exploitable,"NEMO DE PIEDRALLADA, NEAO DE PIEDRALLADA, PACO DE PIEDRALLADA","printemps, grande_quete",34.80768031879203
DE CASA ATO,1,24,5,286,1,1,0,0,1,0,4,0,0,0.20833333333333334,11.916666666666666,286.0,1.0,échantillon faible,WIN II DE CASA ATO,"printemps, discipline_non_identifiee, becasse",34.77674729061091
DU MENEZ-LUZ,2,46,9,441,2,0,0,0,0,0,6,3,0,0.1956521739130435,9.58695652173913,220.5,1.0,échantillon faible,"PAM DU MENEZ-LUZ, POLUX DU MENEZ-LUZ","printemps, becasse, becassine",34.65407389753261
DI VAL DI CHIAN,2,81,10,475,2,0,0,0,0,0,8,2,0,0.12345679012345678,5.864197530864198,237.5,1.0,échantillon faible,"NEFERTITE DI VAL DI CHIAN, LAFAIETTE DI VAL DI CHIAN","printemps, becasse, discipline_non_identifiee",34.58869955728001
DE LA TOUR D'OZZY,2,46,8,321,2,2,0,0,0,2,1,3,1,0.17391304347826086,6.978260869565218,160.5,1.0,échantillon faible,"IRMA DE LA TOUR D'OZZY, SOCRATE DE LA TOUR D'OZZY","becassine, becasse, discipline_non_identifiee",34.53781693648908
DU CLOS DES CHARPES,3,27,2,80,2,0,0,0,0,0,1,0,1,0.07407407407407407,2.962962962962963,26.666666666666668,0.6666666666666666,exploitable,"HANDY DU CLOS DES CHARPES, ULPHIDE DU CLOS DES CHARPES, STONE DU CLOS DES CHARPES","becasse, becassine",34.46313187854981
DEL CABO DE AJO,1,53,7,385,1,1,0,0,1,0,5,1,0,0.1320754716981132,7.264150943396227,385.0,1.0,échantillon faible,FABIOLA DEL CABO DE AJO,becasse,34.451515167395094
DE LA BOURGADE,1,18,7,291,1,0,0,0,0,0,3,4,0,0.3888888888888889,16.166666666666668,291.0,1.0,échantillon faible,JAVELOT DE LA BOURGADE,"discipline_non_identifiee, printemps",34.41739590937865
DES HAUTS DE TALFOREST,1,17,4,212,1,1,0,0,1,0,2,0,1,0.23529411764705882,12.470588235294118,212.0,1.0,échantillon faible,TIAGO DES HAUTS DE TALFOREST,"becasse, printemps",34.28091003868848
DU BOIS TRIPOT,2,65,8,387,2,1,0,0,1,0,4,3,0,0.12307692307692308,5.953846153846154,193.5,1.0,échantillon faible,"HULOTTE DU BOIS TRIPOT, ELIOT DU BOIS TRIPOT","becasse, discipline_non_identifiee",34.27835031057437
DU HAMEAU DE CORS,1,31,4,242,1,2,0,0,0,2,2,0,0,0.12903225806451613,7.806451612903226,242.0,1.0,échantillon faible,MILA DU HAMEAU DE CORS,becasse,34.18982451720798
DES BOIS DE BIGEAT,1,27,5,275,1,1,0,0,1,0,3,1,0,0.18518518518518517,10.185185185185185,275.0,1.0,échantillon faible,SHANEL DES BOIS DE BIGEAT,becasse,34.110343465764394
DU CHENIL DE PEPON,2,53,7,357,2,1,0,0,1,0,4,1,1,0.1320754716981132,6.735849056603773,178.5,1.0,échantillon faible,"TESS DU CHENIL DE PEPON, TYREX DU CHENIL DE PEPON","becasse, discipline_non_identifiee",34.09885701665376
DU SENTIER DES RESINIERS,1,29,5,284,1,1,0,0,1,0,4,0,0,0.1724137931034483,9.793103448275861,284.0,1.0,échantillon faible,JADE DU SENTIER DES RESINIERS,"printemps, becasse",34.08358121475458
DE MALAUSSANNE,3,19,2,80,2,0,0,0,0,0,1,0,1,0.10526315789473684,4.2105263157894735,26.666666666666668,0.6666666666666666,exploitable,"TOSCANE DE MALAUSSANNE, TRACY DE MALAUSSANNE, JPR DE MALAUSSANNE","becasse, printemps",34.06656771667295
DE BUFFENGEAS,2,63,9,415,2,0,0,0,0,0,6,3,0,0.14285714285714285,6.587301587301587,207.5,1.0,échantillon faible,"RAYA DE BUFFENGEAS, TITAN DE BUFFENGEAS","printemps, becasse",34.053027032944414
DE LA PIERRE PANLAIRE,1,11,4,210,1,0,0,0,0,0,4,0,0,0.36363636363636365,19.09090909090909,210.0,1.0,échantillon faible,GAIA DE LA PIERRE PANLAIRE,printemps,33.916643809899426
DU GRAND CHATAIGNIER,1,35,5,245,1,2,0,0,1,1,0,3,0,0.14285714285714285,7.0,245.0,1.0,échantillon faible,GOTIK DU GRAND CHATAIGNIER,"becasse, printemps, discipline_non_identifiee",33.90406692933928
DU BORD DE L'ARRIGABAS,2,45,13,674,1,2,0,0,1,1,8,3,0,0.28888888888888886,14.977777777777778,337.0,0.5,échantillon faible,"IRLANDE DU BORD DE L'ARRIGABAS, NEVER DU BORD DE L'ARRIGABAS","printemps, discipline_non_identifiee, becasse",33.86099578527898
DES DOLMENS DE ROH ER LANN,3,32,2,140,1,1,0,0,1,0,1,0,0,0.0625,4.375,46.666666666666664,0.3333333333333333,exploitable,"JOKKO DES DOLMENS DE ROH ER LANN, JIBOEZ DES DOLMENS DE ROH ER LANN, MIOSSEC DES DOLMENS DE ROH ER LANN","discipline_non_identifiee, becasse",33.860521077157195
