chien_uid;nom_chien_affiche;identifiant;affixe;discipline_norm;presentations;resultats;points;CACIT;RCACIT;CACT;RCACT;EXC;TB;CQN;taux_resultat;score_moyen_presentation
GIPSY DU PARC D'ARMORIQUE | 2GTR468;GIPSY DU PARC D'ARMORIQUE;2GTR468;DU PARC D'ARMORIQUE;becasse;57;16;895;0;0;1;1;14;0;0;0.2807;15.7018
GALINE DE LA CROIX DU BUCHERON | 250269801706338;GALINE DE LA CROIX DU BUCHERON;250269801706338;DE LA CROIX DU BUCHERON;becasse;71;15;887;0;0;5;0;7;2;1;0.2113;12.493
JUMPER DES PICS LUCHONNAIS | 250268731172086;JUMPER DES PICS LUCHONNAIS;250268731172086;DES PICS LUCHONNAIS;printemps;44;14;887;0;0;4;3;6;1;0;0.3182;20.1591
PULSAR DU MARAIS DE TINJAT | 250268501800527;PULSAR DU MARAIS DE TINJAT;250268501800527;DU MARAIS DE TINJAT;becasse;70;16;875;0;0;1;1;12;2;0;0.2286;12.5
OPIUM DU FER SERVADOU | 250269590001596;OPIUM DU FER SERVADOU;250269590001596;DU FER SERVADOU;printemps;58;11;875;3;1;4;0;3;0;0;0.1897;15.0862
FLORA DE LA TOUR MADELOC | 250269500383914;FLORA DE LA TOUR MADELOC;250269500383914;DE LA TOUR MADELOC;becasse;42;12;872;1;0;6;1;4;0;0;0.2857;20.7619
SOAZIG DES SORCIERES DU SANCY | 250269608909777;SOAZIG DES SORCIERES DU SANCY;250269608909777;DES SORCIERES DU SANCY;becasse;48;16;871;0;0;2;1;9;4;0;0.3333;18.1458
LASKOR DE BUZUNTZA | 250268731577352;LASKOR DE BUZUNTZA;250268731577352;DE BUZUNTZA;becasse;54;14;866;0;0;3;2;9;0;0;0.2593;16.037
PERLE DU FER SERVADOU | 250269608332575;PERLE DU FER SERVADOU;250269608332575;DU FER SERVADOU;printemps;51;14;866;1;0;2;2;8;1;0;0.2745;16.9804
HYPER DU MONTMARRA | 2HBH784;HYPER DU MONTMARRA;2HBH784;DU MONTMARRA;becassine;29;18;865;0;0;0;0;12;6;0;0.6207;29.8276
ITHO DES LANDES AUX VIGNES | 250268711008951;ITHO DES LANDES AUX VIGNES;250268711008951;DES LANDES AUX VIGNES;printemps;29;12;864;1;3;1;3;4;0;0;0.4138;29.7931
RAINBOW DU TERTRE D'ARDIT | 250268743470909;RAINBOW DU TERTRE D'ARDIT;250268743470909;DU TERTRE D'ARDIT;discipline_non_identifiee;40;14;863;0;0;3;2;8;1;0;0.35;21.575
SALTO DE L'ECHO DE LA FORET | 250268723164328;SALTO DE L'ECHO DE LA FORET;250268723164328;DE L'ECHO DE LA FORET;discipline_non_identifiee;26;15;862;0;0;2;1;12;0;0;0.5769;33.1538
PERICLES DES CHEVAUCHEURS DU VENT | 250268722006151;PERICLES DES CHEVAUCHEURS DU VENT;250268722006151;DES CHEVAUCHEURS DU VENT;printemps;67;15;861;1;0;2;1;9;2;0;0.2239;12.8507
ODOL BERRI DU MOULIN DU LIORT | 250268501488021;ODOL BERRI DU MOULIN DU LIORT;250268501488021;DU MOULIN DU LIORT;becasse;49;13;861;0;0;6;2;3;2;0;0.2653;17.5714
IONA DU PARC DES CHAUMES | 250269802304539;IONA DU PARC DES CHAUMES;250269802304539;DU PARC DES CHAUMES;becasse;60;17;857;0;0;0;4;8;3;2;0.2833;14.2833
HALPHA DU MAS D'EYRAUD | 2HBL137;HALPHA DU MAS D'EYRAUD;2HBL137;DU MAS D'EYRAUD;printemps;57;16;857;0;0;1;1;11;3;0;0.2807;15.0351
GERONIMO DU CHAMP BOCQUILLON | 250269604278577;GERONIMO DU CHAMP BOCQUILLON;250269604278577;DU CHAMP BOCQUILLON;printemps;39;14;854;0;1;2;1;9;1;0;0.359;21.8974
OXO J | 250268732291297;OXO J;250268732291297;SANS_AFFIXE_DETECTE;discipline_non_identifiee;48;15;851;0;1;1;1;11;1;0;0.3125;17.7292
